Sutra krama सू. क्र. सं,Akaaraadi krama अकारादि क्र. सं,Kaumudi krama कौमुदी क्र. सं,Sutra type सूत्रलक्षणम्‌,Term संज्ञा,Sutra text सूत्रम्‌,PadacCheda पद्च्छेदः
,,,,,,
11001,3288,16,संज्ञा,वृद्धिः,वृद्धिरादैच् ।,वृद्धिः १/१ आदैच् १/१
11002,134,17,संज्ञा,गुणः,अदेङ् गुणः ।,अदेङ् १/१ गुणः १/१
11003,595,34,परिभाषा,,इको गुणवृद्धी ।,इकः ६/१ गुणवृद्धी १/२
11004,2034,2656,,,न धातुलोप आर्धधातुके ।,न ०/० धातुलोपे ७/१ आर्धधातुके ७/१
11005,1335,2217,,,ग्क्ङिति च ।,क्क्ङिति ७/१ च ०/०
11006,1876,2190,,,दीधीवेवीटाम् ।,दीधीवेवीटाम् ६/३
11007,3926,30,संज्ञा,संयोगः,हलोऽनन्तराः संयोगः ।,हलः १/३ अनन्तराः १/३ संयोगः१/१
11008,2787,9,संज्ञा,अनुनासिकः,मुखनासिकावचनोऽनुनासिकः ।,मुखनासिकावचनः १/१ अनुनासिकः १/१
11009,1759,10,संज्ञा,सवर्णम्‌,तुल्यास्यप्रयत्नं सवर्णम् ।,तुल्यास्यप्रयत्नं १/१ सवर्णम् १/१
11010,2141,13,संज्ञा,सवर्णम्‌,नाज्झलौ ।,न् ०/० अज्झलौ १/१२
11011,683,100,संज्ञा,प्रगृह्यम्‌,ईदूदेद्द्विवचनं प्रगृह्यम् ।,ईदूदेद् १/१ द्विवचनं १/१ प्रगृह्यम् १/१
11012,129,101,संज्ञा,प्रगृह्यम्‌,अदसो मात् ।,अदसः ६/१ मात् ५/१
11013,3424,102,संज्ञा,प्रगृह्यम्‌,शे ।,शे (लुप्तप्रथमान्तो निर्देशः)
11014,2190,103,संज्ञा,प्रगृह्यम्‌,निपात एकाजनाङ् ।,निपातः १/१ एकाच् १/१ अनाङ् १/१
11015,936,104,संज्ञा,प्रगृह्यम्‌,ओत् ।,ओत् १/१
11016,3665,105,संज्ञा,प्रगृह्यम्‌,सम्बुद्धौ शाकल्यस्येतावनार्षे ।,सम्बुद्धौ ७/१ शाकल्यस्य ६/१ इतौ ७/१ अनार्षे ७/१
11017,702,106,संज्ञा,प्रगृह्यम्‌,उञः ।,उञः ६/१
11018,829,107,संज्ञा,प्रगृह्यम्‌,ऊँ ।,ऊँ (लुप्तविभक्तिकम्)
11019,682,109,संज्ञा,प्रगृह्यम्‌,ईदूतौ च सप्तम्यर्थे ।,ईदूतौ १/२ च ०/० सप्तम्यर्थे ७/१
11020,1845,2373,संज्ञा,घुः,दाधा घ्वदाप् ।,दाधा १/३ घु १/१ अदाप् १/१
11021,532,348,परिभाषा,,आद्यन्तवदेकस्मिन् ।,आद्यन्तवत् ०/० एकस्मिन् ७/१
11022,1674,2003,संज्ञा,घः,तरप्तमपौ घः ।,तरप्तमपौ १/२ घः १/१
11023,2583,258,संज्ञा,संख्या,बहुगणवतुडति संख्या ।,बहुगणवतुडति १/१ संख्या १/१
11024,3500,369,संज्ञा,षट्‌,ष्णान्ता षट् ।,ष्णान्ता १/१ षट् १/१
11025,1569,259,संज्ञा,षट्‌,डति च ।,डति १/१ च ०/०
11026,1177,3012,संज्ञा,निष्ठा,क्तक्तवतू निष्ठा ।,क्तक्तवतू १/२ निष्ठा १/१
